     QUARTER          GDP     PGDP2000    LEADING96
      1999.1       9066.6       97.274       108.10 
      1999.2       9174.1       97.701       108.90 
      1999.3       9313.5       98.022       109.10 
      1999.4       9519.5       98.475       110.40 
      2000.1       9629.4       99.292       110.50 
      2000.2       9822.8       99.780       110.30 
      2000.3       9862.1       100.24       109.80 
      2000.4       9953.6       100.69       108.60 
      2001.1       10025.       101.48       108.60 
      2001.2       10088.       102.27       108.70 
      2001.3       10096.       102.68       108.00 
      2001.4       10194.       103.08       110.50 
      2002.1       10329.       103.36       111.00 
      2002.2       10428.       103.74       111.20 
      2002.3       10542.       104.12       110.40 
      2002.4       10624.       104.57       111.20 
      2003.1       10736.       105.16       110.40 
      2003.2       10847.       105.44       111.80 
      2003.3       11107.       105.87       113.00 
      2003.4       11252.       106.19       114.30 
